global_step=17672, episodic_return=[-666.85], time=0.03341531753540039
global_step=18152, episodic_return=[-124.01], time=0.17873334884643555
global_step=18256, episodic_return=[-27.97], time=0.034644126892089844
global_step=18480, episodic_return=[-100.87], time=0.09142303466796875
global_step=18576, episodic_return=[ -8.23 -26.94], time=0.03857159614562988
global_step=18640, episodic_return=[-690.3], time=0.021302223205566406
global_step=18960, episodic_return=[-25.47], time=0.11968874931335449
global_step=19064, episodic_return=[-8.58], time=0.04813027381896973
global_step=19104, episodic_return=[-20.73], time=0.01700568199157715
global_step=19176, episodic_return=[-135.55], time=0.029987335205078125
global_step=19240, episodic_return=[-24.01], time=0.02852606773376465
global_step=19424, episodic_return=[-27.77], time=0.08009028434753418
global_step=19504, episodic_return=[-46.69], time=0.033987998962402344
global_step=19544, episodic_return=[-58.28], time=0.015222787857055664
global_step=19728, episodic_return=[-45.03], time=0.07972145080566406
global_step=19760, episodic_return=[-33.82], time=0.013868093490600586
global_step=19880, episodic_return=[-34.97], time=0.0442657470703125
global_step=19920, episodic_return=[-19.17], time=0.02326226234436035
global_step=20048, episodic_return=[-52.51], time=0.05075573921203613
global_step=20160, episodic_return=[-51.2], time=0.044997453689575195
global_step=20360, episodic_return=[-43.07], time=0.07291936874389648
global_step=20376, episodic_return=[-20.12], time=0.00583338737487793
global_step=20528, episodic_return=[9.12], time=0.06493830680847168
global_step=20624, episodic_return=[-20.54], time=0.04479789733886719
global_step=20864, episodic_return=[-84.36], time=0.09995579719543457
global_step=21168, episodic_return=[-72.27], time=0.12205171585083008
global_step=21368, episodic_return=[-4.66], time=0.07568669319152832
global_step=21440, episodic_return=[-686.83], time=0.027478933334350586
global_step=21544, episodic_return=[-80.68], time=0.051486968994140625
global_step=21584, episodic_return=[-104.72], time=0.017585277557373047
global_step=21616, episodic_return=[3.94], time=0.01082468032836914
global_step=21696, episodic_return=[-11.51], time=0.029167652130126953
global_step=21720, episodic_return=[-22.14], time=0.010458230972290039
global_step=21896, episodic_return=[-7.66], time=0.07109856605529785
global_step=21944, episodic_return=[-31.25], time=0.018347501754760742
global_step=22072, episodic_return=[-10.7], time=0.051593780517578125
global_step=22200, episodic_return=[-35.5], time=0.057309865951538086
global_step=22208, episodic_return=[-17.57], time=0.003263235092163086
global_step=22424, episodic_return=[-8.53], time=0.07732248306274414
global_step=22560, episodic_return=[-80.47], time=0.05588412284851074
global_step=22576, episodic_return=[-229.32], time=0.013051033020019531
global_step=22616, episodic_return=[-43.28], time=0.018133163452148438
global_step=22712, episodic_return=[-23.08], time=0.03639698028564453
global_step=22760, episodic_return=[-5.42], time=0.017267704010009766
global_step=22800, episodic_return=[12.95], time=0.016896724700927734
global_step=22848, episodic_return=[-12.64], time=0.017656803131103516
global_step=23112, episodic_return=[-50.75], time=0.10769295692443848
global_step=23168, episodic_return=[-34.85], time=0.020845890045166016
global_step=23216, episodic_return=[-17.18], time=0.022505521774291992
global_step=23248, episodic_return=[-49.], time=0.011214256286621094
global_step=23536, episodic_return=[-61.28], time=0.1078643798828125
global_step=23816, episodic_return=[-47.6], time=0.1132359504699707
global_step=24088, episodic_return=[-12.87], time=0.1170198917388916
global_step=24176, episodic_return=[-85.14], time=0.03413891792297363
global_step=24400, episodic_return=[-32.58], time=0.09257364273071289
global_step=24408, episodic_return=[-646.09], time=0.0029463768005371094
global_step=24432, episodic_return=[-36.65], time=0.012243270874023438
global_step=24480, episodic_return=[-607.51], time=0.023457765579223633
global_step=24600, episodic_return=[-4.68], time=0.05226302146911621
global_step=24680, episodic_return=[-15.77], time=0.02906322479248047
global_step=24760, episodic_return=[-21.46], time=0.030063390731811523
global_step=24792, episodic_return=[-51.01], time=0.010621786117553711
global_step=25080, episodic_return=[-35.79], time=0.11188364028930664
global_step=25392, episodic_return=[-64.38], time=0.11814665794372559
global_step=25400, episodic_return=[-125.71], time=0.0024411678314208984
global_step=25544, episodic_return=[-632.94], time=0.06274223327636719
global_step=25592, episodic_return=[-142.77], time=0.019423484802246094
global_step=25768, episodic_return=[-20.87], time=0.06395649909973145
global_step=25800, episodic_return=[-61.3], time=0.0113067626953125
global_step=25832, episodic_return=[-57.43], time=0.011052608489990234
global_step=25936, episodic_return=[-5.14], time=0.04349017143249512
global_step=25952, episodic_return=[-4.66], time=0.005574226379394531
global_step=26120, episodic_return=[-84.38], time=0.06325626373291016
global_step=26184, episodic_return=[-24.38], time=0.021699905395507812
global_step=26280, episodic_return=[-17.64], time=0.041106224060058594
global_step=26304, episodic_return=[-59.44], time=0.008994340896606445
global_step=26344, episodic_return=[-49.48], time=0.016365528106689453
global_step=26464, episodic_return=[-34.61], time=0.05973458290100098
global_step=26488, episodic_return=[-16.87], time=0.01038050651550293
global_step=26520, episodic_return=[-11.23], time=0.012243509292602539
global_step=26616, episodic_return=[-45.95], time=0.037271738052368164
global_step=26752, episodic_return=[-33.37], time=0.05502605438232422
global_step=26880, episodic_return=[-55.52], time=0.06338143348693848
global_step=26928, episodic_return=[26.57], time=0.02316737174987793
global_step=26976, episodic_return=[-24.07], time=0.02274918556213379
global_step=27104, episodic_return=[-3.68], time=0.0620572566986084
global_step=27152, episodic_return=[-65.7], time=0.018715620040893555
global_step=27216, episodic_return=[-9.66], time=0.031111955642700195
global_step=27248, episodic_return=[-42.61], time=0.013970375061035156
global_step=27616, episodic_return=[-78.43], time=0.15316534042358398
global_step=27728, episodic_return=[-32.99], time=0.0466456413269043
global_step=27872, episodic_return=[3.78], time=0.06274223327636719
global_step=28096, episodic_return=[-26.6], time=0.08718276023864746
global_step=28128, episodic_return=[-33.45], time=0.011389017105102539
global_step=28296, episodic_return=[-16.92], time=0.06275129318237305
global_step=28568, episodic_return=[-26.47], time=0.0991048812866211
global_step=28608, episodic_return=[-51.53 -53.28], time=0.016158342361450195
global_step=28736, episodic_return=[ -5.37 -12.79], time=0.056168556213378906
global_step=28880, episodic_return=[-6.63], time=0.06315875053405762
global_step=28944, episodic_return=[-170.97], time=0.02615070343017578
global_step=29152, episodic_return=[-13.48], time=0.0898432731628418
global_step=29336, episodic_return=[-4.57], time=0.0756826400756836
global_step=29480, episodic_return=[-23.94], time=0.05802297592163086
global_step=29632, episodic_return=[-15.75], time=0.05914902687072754
global_step=29824, episodic_return=[-8.36], time=0.07077407836914062
global_step=29976, episodic_return=[-61.38], time=0.05896258354187012
global_step=30200, episodic_return=[-28.96], time=0.0842282772064209
global_step=30216, episodic_return=[-629.11], time=0.00613093376159668
global_step=30360, episodic_return=[-23.85], time=0.05682730674743652
global_step=30696, episodic_return=[-21.84], time=0.12830591201782227
global_step=30728, episodic_return=[-33.54], time=0.012017965316772461
global_step=30744, episodic_return=[-15.35], time=0.005660057067871094
global_step=31064, episodic_return=[-21.09], time=0.11948585510253906
global_step=31144, episodic_return=[-26.19], time=0.03465747833251953
global_step=31256, episodic_return=[-632.3], time=0.04860115051269531
global_step=31336, episodic_return=[-90.23], time=0.03869295120239258
global_step=31584, episodic_return=[-17.59], time=0.10540604591369629
